Price ID,Market ID,Commodity ID,Arrival Date,Minimum Price,Maximum Price,Modal Price,Unit,Arrival Quantity (Tons),Source,Updated Time,Verification Status
"TN-PRC-20260722-0001","TN-MKT-KAN-001","TN-COM-TOM","2026-07-22","600","1200","800","₹/Quintal","10","Tamil Nadu Agrimark API","2026-07-22T07:16:50.921Z","Verified Live"
"TN-PRC-20260722-0002","TN-MKT-KAN-001","TN-COM-ONI","2026-07-22","1400","2000","1600","₹/Quintal","10","Tamil Nadu Agrimark API","2026-07-22T07:16:50.921Z","Verified Live"
"TN-PRC-20260722-0003","TN-MKT-KAN-001","TN-COM-POT","2026-07-22","2200","2800","2400","₹/Quintal","10","Tamil Nadu Agrimark API","2026-07-22T07:16:50.921Z","Verified Live"
"TN-PRC-20260722-0004","TN-MKT-KAN-001","TN-COM-BRI","2026-07-22","3000","3600","3200","₹/Quintal","10","Tamil Nadu Agrimark API","2026-07-22T07:16:50.921Z","Verified Live"
"TN-PRC-20260722-0005","TN-MKT-KAN-001","TN-COM-CHL","2026-07-22","3800","4400","4000","₹/Quintal","10","Tamil Nadu Agrimark API","2026-07-22T07:16:50.921Z","Verified Live"
"TN-PRC-20260722-0006","TN-MKT-KAN-001","TN-COM-BHE","2026-07-22","4600","5200","4800","₹/Quintal","10","Tamil Nadu Agrimark API","2026-07-22T07:16:50.921Z","Verified Live"
"TN-PRC-20260722-0007","TN-MKT-KAN-001","TN-COM-DRM","2026-07-22","5400","6000","5600","₹/Quintal","10","Tamil Nadu Agrimark API","2026-07-22T07:16:50.921Z","Verified Live"
"TN-PRC-20260722-0008","TN-MKT-KAN-001","TN-COM-BAN","2026-07-22","6200","6800","6400","₹/Quintal","10","Tamil Nadu Agrimark API","2026-07-22T07:16:50.921Z","Verified Live"
"TN-PRC-20260722-0011","TN-MKT-KAN-002","TN-COM-TOM","2026-07-22","650","1250","850","₹/Quintal","11","Tamil Nadu Agrimark API","2026-07-22T07:16:50.921Z","Verified Live"
"TN-PRC-20260722-0012","TN-MKT-KAN-002","TN-COM-ONI","2026-07-22","1450","2050","1650","₹/Quintal","11","Tamil Nadu Agrimark API","2026-07-22T07:16:50.921Z","Verified Live"
"TN-PRC-20260722-0013","TN-MKT-KAN-002","TN-COM-POT","2026-07-22","2250","2850","2450","₹/Quintal","11","Tamil Nadu Agrimark API","2026-07-22T07:16:50.921Z","Verified Live"
"TN-PRC-20260722-0014","TN-MKT-KAN-002","TN-COM-BRI","2026-07-22","3050","3650","3250","₹/Quintal","11","Tamil Nadu Agrimark API","2026-07-22T07:16:50.921Z","Verified Live"
"TN-PRC-20260722-0015","TN-MKT-KAN-002","TN-COM-CHL","2026-07-22","3850","4450","4050","₹/Quintal","11","Tamil Nadu Agrimark API","2026-07-22T07:16:50.921Z","Verified Live"
