Market ID,Commodity ID,Availability,Season,Priority Commodity
"TN-MKT-KAN-001","TN-COM-TOM","High","Year-Round","true"
"TN-MKT-KAN-001","TN-COM-ONI","Medium","Rabi","true"
"TN-MKT-KAN-001","TN-COM-POT","High","Rabi","true"
"TN-MKT-KAN-001","TN-COM-BRI","Medium","Year-Round","true"
"TN-MKT-KAN-001","TN-COM-CHL","High","Kharif","false"
"TN-MKT-KAN-001","TN-COM-BHE","Medium","Year-Round","false"
"TN-MKT-KAN-001","TN-COM-DRM","High","Year-Round","false"
"TN-MKT-KAN-001","TN-COM-BAN","Medium","Year-Round","false"
"TN-MKT-KAN-001","TN-COM-COC","High","Year-Round","false"
"TN-MKT-KAN-001","TN-COM-GND","Medium","Kharif","false"
"TN-MKT-KAN-001","TN-COM-TUR","High","Rabi","false"
"TN-MKT-KAN-001","TN-COM-SUG","Medium","Year-Round","false"
"TN-MKT-KAN-001","TN-COM-PAD","High","Kharif","false"
"TN-MKT-KAN-001","TN-COM-COT","Medium","Kharif","false"
"TN-MKT-KAN-001","TN-COM-MAN","High","Zaid","false"
"TN-MKT-KAN-001","TN-COM-JAS","Medium","Year-Round","false"
"TN-MKT-KAN-002","TN-COM-TOM","High","Year-Round","true"
"TN-MKT-KAN-002","TN-COM-ONI","Medium","Rabi","true"
"TN-MKT-KAN-002","TN-COM-POT","High","Rabi","true"
"TN-MKT-KAN-002","TN-COM-BRI","Medium","Year-Round","true"
"TN-MKT-KAN-002","TN-COM-CHL","High","Kharif","false"
"TN-MKT-KAN-002","TN-COM-BHE","Medium","Year-Round","false"
"TN-MKT-KAN-002","TN-COM-DRM","High","Year-Round","false"
"TN-MKT-KAN-002","TN-COM-BAN","Medium","Year-Round","false"
"TN-MKT-KAN-002","TN-COM-COC","High","Year-Round","false"
"TN-MKT-KAN-002","TN-COM-GND","Medium","Kharif","false"
"TN-MKT-KAN-002","TN-COM-TUR","High","Rabi","false"
"TN-MKT-KAN-002","TN-COM-SUG","Medium","Year-Round","false"
"TN-MKT-KAN-002","TN-COM-PAD","High","Kharif","false"
"TN-MKT-KAN-002","TN-COM-COT","Medium","Kharif","false"
"TN-MKT-KAN-002","TN-COM-MAN","High","Zaid","false"
"TN-MKT-KAN-002","TN-COM-JAS","Medium","Year-Round","false"
"TN-MKT-KAN-003","TN-COM-TOM","High","Year-Round","true"
"TN-MKT-KAN-003","TN-COM-ONI","Medium","Rabi","true"
"TN-MKT-KAN-003","TN-COM-POT","High","Rabi","true"
"TN-MKT-KAN-003","TN-COM-BRI","Medium","Year-Round","true"
"TN-MKT-KAN-003","TN-COM-CHL","High","Kharif","false"
"TN-MKT-KAN-003","TN-COM-BHE","Medium","Year-Round","false"
"TN-MKT-KAN-003","TN-COM-DRM","High","Year-Round","false"
"TN-MKT-KAN-003","TN-COM-BAN","Medium","Year-Round","false"
"TN-MKT-KAN-003","TN-COM-COC","High","Year-Round","false"
"TN-MKT-KAN-003","TN-COM-GND","Medium","Kharif","false"
"TN-MKT-KAN-003","TN-COM-TUR","High","Rabi","false"
"TN-MKT-KAN-003","TN-COM-SUG","Medium","Year-Round","false"
"TN-MKT-KAN-003","TN-COM-PAD","High","Kharif","false"
"TN-MKT-KAN-003","TN-COM-COT","Medium","Kharif","false"
"TN-MKT-KAN-003","TN-COM-MAN","High","Zaid","false"
"TN-MKT-KAN-003","TN-COM-JAS","Medium","Year-Round","false"
"TN-MKT-KAN-004","TN-COM-TOM","High","Year-Round","true"
"TN-MKT-KAN-004","TN-COM-ONI","Medium","Rabi","true"
"TN-MKT-KAN-004","TN-COM-POT","High","Rabi","true"
"TN-MKT-KAN-004","TN-COM-BRI","Medium","Year-Round","true"
"TN-MKT-KAN-004","TN-COM-CHL","High","Kharif","false"
"TN-MKT-KAN-004","TN-COM-BHE","Medium","Year-Round","false"
"TN-MKT-KAN-004","TN-COM-DRM","High","Year-Round","false"
"TN-MKT-KAN-004","TN-COM-BAN","Medium","Year-Round","false"
"TN-MKT-KAN-004","TN-COM-COC","High","Year-Round","false"
"TN-MKT-KAN-004","TN-COM-GND","Medium","Kharif","false"
"TN-MKT-KAN-004","TN-COM-TUR","High","Rabi","false"
"TN-MKT-KAN-004","TN-COM-SUG","Medium","Year-Round","false"
"TN-MKT-KAN-004","TN-COM-PAD","High","Kharif","false"
"TN-MKT-KAN-004","TN-COM-COT","Medium","Kharif","false"
"TN-MKT-KAN-004","TN-COM-MAN","High","Zaid","false"
"TN-MKT-KAN-004","TN-COM-JAS","Medium","Year-Round","false"
"TN-MKT-TIR-005","TN-COM-TOM","High","Year-Round","true"
"TN-MKT-TIR-005","TN-COM-ONI","Medium","Rabi","true"
"TN-MKT-TIR-005","TN-COM-POT","High","Rabi","true"
"TN-MKT-TIR-005","TN-COM-BRI","Medium","Year-Round","true"
"TN-MKT-TIR-005","TN-COM-CHL","High","Kharif","false"
"TN-MKT-TIR-005","TN-COM-BHE","Medium","Year-Round","false"
"TN-MKT-TIR-005","TN-COM-DRM","High","Year-Round","false"
"TN-MKT-TIR-005","TN-COM-BAN","Medium","Year-Round","false"
"TN-MKT-TIR-005","TN-COM-COC","High","Year-Round","false"
"TN-MKT-TIR-005","TN-COM-GND","Medium","Kharif","false"
"TN-MKT-TIR-005","TN-COM-TUR","High","Rabi","false"
"TN-MKT-TIR-005","TN-COM-SUG","Medium","Year-Round","false"
"TN-MKT-TIR-005","TN-COM-PAD","High","Kharif","false"
"TN-MKT-TIR-005","TN-COM-COT","Medium","Kharif","false"
"TN-MKT-TIR-005","TN-COM-MAN","High","Zaid","false"
"TN-MKT-TIR-005","TN-COM-JAS","Medium","Year-Round","false"
"TN-MKT-TIR-006","TN-COM-TOM","High","Year-Round","true"
"TN-MKT-TIR-006","TN-COM-ONI","Medium","Rabi","true"
"TN-MKT-TIR-006","TN-COM-POT","High","Rabi","true"
"TN-MKT-TIR-006","TN-COM-BRI","Medium","Year-Round","true"
"TN-MKT-TIR-006","TN-COM-CHL","High","Kharif","false"
"TN-MKT-TIR-006","TN-COM-BHE","Medium","Year-Round","false"
"TN-MKT-TIR-006","TN-COM-DRM","High","Year-Round","false"
"TN-MKT-TIR-006","TN-COM-BAN","Medium","Year-Round","false"
"TN-MKT-TIR-006","TN-COM-COC","High","Year-Round","false"
"TN-MKT-TIR-006","TN-COM-GND","Medium","Kharif","false"
"TN-MKT-TIR-006","TN-COM-TUR","High","Rabi","false"
"TN-MKT-TIR-006","TN-COM-SUG","Medium","Year-Round","false"
"TN-MKT-TIR-006","TN-COM-PAD","High","Kharif","false"
"TN-MKT-TIR-006","TN-COM-COT","Medium","Kharif","false"
"TN-MKT-TIR-006","TN-COM-MAN","High","Zaid","false"
"TN-MKT-TIR-006","TN-COM-JAS","Medium","Year-Round","false"
"TN-MKT-TIR-007","TN-COM-TOM","High","Year-Round","true"
"TN-MKT-TIR-007","TN-COM-ONI","Medium","Rabi","true"
"TN-MKT-TIR-007","TN-COM-POT","High","Rabi","true"
"TN-MKT-TIR-007","TN-COM-BRI","Medium","Year-Round","true"
"TN-MKT-TIR-007","TN-COM-CHL","High","Kharif","false"
"TN-MKT-TIR-007","TN-COM-BHE","Medium","Year-Round","false"
